Zip Code,Paid Employee,Median Household Income,Median Age,Population Density,Hour_0,Hour_1,Hour_2,Hour_3,Hour_4,Hour_5,Hour_6,Hour_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22,Hour_23,Tree,Crime Count
19141,7500,28,35.8,17348,3,7,8,9,4,3,2,5,10,9,13,9,15,14,8,18,16,17,12,7,17,13,9,8,98,236
19142,1850,28,29.4,17424,3,3,6,3,4,0,2,4,6,7,11,8,5,8,7,4,7,11,8,7,6,3,6,5,85,134
19143,3581,28,34.6,19639,11,13,11,9,6,2,5,6,18,19,10,16,13,6,9,8,15,12,17,15,10,11,11,5,325,258
19144,7992,27,35.8,12659,5,6,7,3,4,1,3,5,6,14,8,14,18,15,8,23,11,14,12,16,11,12,10,8,174,234
19145,10147,32,36.5,9736,6,5,5,3,1,1,3,2,8,6,5,2,7,8,3,5,7,10,9,7,6,6,4,6,248,125
19146,6137,33,33.4,22560,4,6,3,1,2,1,2,7,10,14,12,15,13,2,9,4,14,15,7,10,11,9,7,3,274,181
19147,8487,47,35.2,28457,4,4,9,2,1,0,1,6,6,8,12,7,11,7,5,1,9,10,11,8,6,7,7,5,418,147
19148,30062,34,37.1,12700,6,5,7,2,4,2,1,5,11,12,15,8,11,8,5,14,13,15,7,15,10,11,9,10,260,206
19149,5192,40,32.7,24110,4,6,5,3,6,3,0,2,7,13,16,8,10,7,8,10,14,8,11,11,9,11,5,8,157,185
19150,2719,44,44.6,15216,1,2,0,2,2,1,0,1,4,3,3,3,3,2,3,5,5,2,1,3,0,3,4,5,102,58
19151,2364,38,36.1,12612,1,3,2,3,1,0,1,6,9,4,5,5,5,4,3,5,10,9,9,13,2,6,4,4,150,114
19152,6697,43,43.5,11327,1,0,1,1,1,0,0,2,2,3,5,6,1,7,3,5,6,5,3,9,5,4,2,1,99,73
19153,24160,41,37.7,1216,2,4,3,1,0,1,0,1,3,3,3,4,6,6,6,3,5,6,4,5,5,0,0,3,126,74
19154,15728,57,39.5,5398,1,1,2,0,0,2,0,2,2,2,3,2,4,5,2,5,7,3,4,0,4,2,2,0,109,55
